Timestamp,Disease,Split_Salt,Config_Used,Best_GP_Formula,Best_GP_AUC_PR,Best_GP_AUC_ROC,Num_Features_Best,Baseline_AUC_PR_At_K,Delta_vs_Baseline_K,Winning_Generation,Total_Generations,Beats_Baseline,CV_AUC_PR_Mean,CV_AUC_PR_Std,CV_AUC_PR_CI95_Low,CV_AUC_PR_CI95_High,CV_Selected,Frozen_Test_AUC_PR_Final,Seed_File,Seed_Count_Used
2026-05-26 01:35:40,t1d,,small,"mul(log(log(add(lym_pct, -0.247))), mul(div(mul(log(add(lym_pct, -0.247)), mul(div(neut_pct, mono_pct), log(add(lym_pct, -0.247)))), mono_pct), mul(log(add(lym_pct, -0.247)), mul(div(neut_pct, mono_pct), hgb))))",0.0148,0.6292,4,0.0149,-0.0001,3,8,False,0.017276,0.008084,0.001431,0.033121,False,,none,0
2026-05-26 01:35:40,t1d,,medium,"mul(log(log(log(log(div(neut_pct, mono_pct))))), mul(log(log(add(lym_pct, -0.247))), mul(div(mul(div(neut_pct, mono_pct), add(hgb, mono_pct)), mono_pct), sqrt(eos_pct))))",0.0144,0.5956,5,0.0146,-0.0002,0,10,False,0.019129,0.008866,0.001752,0.036506,False,,none,0
2026-05-26 01:35:40,t1d,,large,"add(add(plt, mchc), mul(log(add(lym_pct, -0.247)), add(div(add(mul(log(add(lym_pct, -0.247)), mul(div(neut_pct, mono_pct), add(hgb, log(add(eos_pct, neg(mono_pct)))))), mul(mul(add(eos_pct, neg(mono_pct)), add(eos_pct, neg(mono_pct))), div(neut_pct, mono_pct))), neg(log(sub(add(-0.130, neut_pct), sqrt(mono_pct))))), add(add(plt, mchc), add(div(add(mul(mul(add(eos_pct, neg(mono_pct)), add(eos_pct, neg(mono_pct))), div(neut_pct, mono_pct)), mul(mul(add(eos_pct, neg(mono_pct)), add(eos_pct, neg(mono_pct))), div(neut_pct, mono_pct))), neg(log(sub(neg(mono_pct), sqrt(mono_pct))))), mul(sqrt(mono_pct), mul(div(neut_pct, mono_pct), add(hgb, mono_pct))))))))",0.0162,0.5983,7,0.0153,0.0009,1,21,False,0.024018,0.019154,-0.013524,0.061559,True,0.0153,none,0
2026-05-26 01:47:55,ra,,small,"div(sub(mul(mono_pct, hct), plt), div(mcv, mchc))",0.0182,0.5359,5,0.016,0.0022,0,5,True,0.016099,0.001608,0.012947,0.019251,False,,none,0
2026-05-26 01:47:55,ra,,medium,"add(mul(div(mul(mul(div(mono_pct, neut_pct), mul(mul(mono_pct, log(neg(sub(add(mul(div(mono_pct, neut_pct), mono_pct), log(sub(hct, mchc))), mono_pct)))), sqrt(log(sqrt(eos_pct))))), sqrt(neut_pct)), neut_pct), neg(sub(log(wbc), mono_pct))), log(div(add(mul(div(mono_pct, neut_pct), mono_pct), log(sub(hct, mchc))), plt)))",0.0305,0.6671,7,0.0146,0.0159,2,12,True,0.027113,0.012277,0.00305,0.051176,False,,none,0
2026-05-26 01:47:55,ra,,large,"div(add(sqrt(mul(mul(sub(add(div(mono_pct, hct), log(div(mul(plt, div(plt, log(sub(hct, mchc)))), log(sub(hct, mchc))))), add(log(wbc), mcv)), sqrt(log(sqrt(eos_pct)))), neg(neg(div(div(div(mul(plt, div(mul(sub(add(div(mono_pct, sqrt(add(sub(mono_pct, add(neg(log(sub(hct, mchc))), baso_pct)), log(sub(hct, mchc))))), add(div(mono_pct, sqrt(add(sub(mono_pct, add(neg(add(neg(log(sub(hct, mch))), baso_pct)), baso_pct)), log(sub(hct, mchc))))), log(mcv))), log(mcv)), sqrt(log(sqrt(eos_pct)))), log(sub(hct, mchc)))), sub(mono_pct, add(neg(log(sub(hct, mch))), baso_pct))), mono_pct), log(mcv)))))), mul(mul(sub(add(sqrt(eos_pct), log(mcv)), add(log(wbc), log(sub(hct, mchc)))), sqrt(log(div(mul(plt, div(plt, log(sqrt(eos_pct)))), sub(mono_pct, log(mcv)))))), neg(neg(div(div(mchc, mono_pct), log(mcv)))))), sqrt(add(sub(hct, mchc), log(sub(hct, mchc)))))",0.0351,0.6466,9,0.0147,0.0204,5,25,True,0.031227,0.009512,0.012583,0.049871,True,0.0114,none,0
2026-05-26 01:48:11,psr,,small,"mul(log(log(log(mchc))), log(add(sqrt(hct), mul(log(log(log(mchc))), mul(log(log(log(mchc))), add(sqrt(hct), log(mch)))))))",0.0134,0.5768,3,0.0146,-0.0012,0,5,True,0.01394,0.005683,0.002802,0.025078,False,,none,0
2026-05-26 01:48:11,psr,,medium,"sub(mul(div(div(sqrt(mch), add(mch, hct)), sub(sub(sqrt(mch), sqrt(mono_pct)), sqrt(sub(baso_pct, mchc)))), div(add(log(mul(hgb, mch)), sqrt(mchc)), add(sub(mul(wbc, sqrt(sqrt(eos_pct))), sqrt(baso_pct)), sqrt(sqrt(eos_pct))))), add(add(add(mchc, hgb), mch), hgb))",0.0135,0.6246,8,0.0117,0.0018,2,12,True,0.020499,0.012912,-0.004808,0.045807,False,,none,0
2026-05-26 01:48:11,psr,,large,"sub(sub(sub(sub(mul(div(div(sqrt(sqrt(add(sub(log(neg(eos_pct)), sqrt(baso_pct)), sqrt(log(neg(eos_pct)))))), log(sub(mchc, wbc))), sub(sub(sqrt(mch), sqrt(mono_pct)), sqrt(sub(baso_pct, mchc)))), div(add(div(sqrt(sqrt(rbc)), log(sub(mchc, wbc))), log(sqrt(mch))), add(sub(mul(wbc, eos_pct), sqrt(baso_pct)), sqrt(sqrt(eos_pct))))), mch), sub(sub(sqrt(mch), sqrt(mono_pct)), sqrt(sub(baso_pct, mchc)))), log(neg(eos_pct))), sqrt(sqrt(eos_pct)))",0.0151,0.6061,7,0.0114,0.0037,0,20,True,0.025785,0.012588,0.001113,0.050458,True,0.0119,none,0
2026-05-26 01:57:30,crhn,,small,"mul(mul(neg(mul(sqrt(add(plt, mchc)), mchc)), mul(sqrt(mul(rbc, plt)), mchc)), mchc)",0.0329,0.6145,3,0.0145,0.0184,5,10,True,0.017245,0.004144,0.009123,0.025367,False,,none,0
2026-05-26 01:57:30,crhn,,medium,"sub(add(mul(add(mul(sub(mul(add(mul(neg(mchc), mul(mono_pct, baso_pct)), add(add(neut_pct, plt), neg(0.361))), add(mul(sub(neg(add(mul(sub(neg(mul(sub(sub(add(mul(sub(neg(mul(sub(sub(mul(sqrt(sqrt(log(log(add(sqrt(eos_pct), div(mcv, neg(mchc))))))), sub(mul(rbc, plt), mul(wbc, mchc))), mul(wbc, mchc)), mul(wbc, mchc)), mchc)), div(add(rbc, plt), neg(0.519))), neut_pct), div(plt, mul(mono_pct, hgb))), mul(wbc, mchc)), mul(wbc, mchc)), mchc)), div(add(rbc, plt), neg(0.519))), neut_pct), div(plt, mul(mono_pct, hgb)))), div(add(rbc, plt), neg(eos_pct))), sqrt(log(log(rdw)))), log(sub(plt, sqrt(hct))))), div(add(rbc, plt), neg(0.519))), sqrt(log(div(-0.869, plt)))), div(plt, mul(mono_pct, hgb))), sqrt(add(mul(add(mul(sub(mul(add(mul(neg(mchc), mul(mono_pct, baso_pct)), add(add(neut_pct, plt), neg(0.361))), add(mul(sub(neg(mul(wbc, mchc)), div(add(mul(neg(mchc), mul(mono_pct, baso_pct)), add(add(neut_pct, plt), neg(div(plt, mul(mono_pct, hgb))))), neg(0.519))), sqrt(log(log(hgb)))), log(sub(plt, sqrt(hct))))), div(add(rbc, plt), neg(0.519))), sqrt(log(div(-0.869, plt)))), div(plt, mul(mono_pct, hgb))), sqrt(sqrt(eos_pct))), div(plt, mul(mono_pct, hgb))))), neg(mul(wbc, mchc))), sqrt(log(log(add(sqrt(eos_pct), div(wbc, mchc))))))",0.0191,0.5896,12,0.0179,0.0012,0,10,True,0.028486,0.016042,-0.002956,0.059927,False,,none,0
2026-05-26 01:57:30,crhn,,large,"sub(add(mul(sub(sub(add(mul(sub(neg(mul(wbc, mchc)), add(mul(sub(neg(add(mul(sub(neg(mul(wbc, mchc)), div(add(sub(add(mul(sub(sub(add(mul(sub(neg(mul(wbc, mchc)), mul(neg(wbc), mul(mul(mono_pct, baso_pct), baso_pct))), div(mcv, mchc)), mul(sqrt(sqrt(mul(mono_pct, baso_pct))), sub(mul(rbc, plt), add(rbc, mchc)))), sqrt(eos_pct)), div(add(mul(mul(mul(neg(wbc), mul(mono_pct, baso_pct)), mul(mono_pct, baso_pct)), mul(mono_pct, baso_pct)), plt), neg(0.519))), sqrt(rbc)), log(add(sub(plt, -0.612), hgb))), sqrt(log(log(add(sqrt(eos_pct), div(mcv, mchc)))))), plt), sub(neg(mul(wbc, mchc)), div(add(mul(mul(neg(wbc), mul(mono_pct, baso_pct)), mul(mono_pct, baso_pct)), plt), neg(0.519))))), sqrt(rbc)), mul(sqrt(sqrt(sqrt(eos_pct))), sub(mul(rbc, plt), add(sqrt(sqrt(eos_pct)), mchc))))), mul(sub(sub(add(mul(sub(neg(mul(wbc, mchc)), div(add(sqrt(rbc), plt), sub(neg(mul(wbc, mchc)), div(add(mul(add(sqrt(eos_pct), div(mcv, mchc)), mul(mono_pct, baso_pct)), plt), neg(0.519))))), sqrt(rbc)), mul(sqrt(sqrt(sqrt(eos_pct))), sub(mul(rbc, plt), add(rbc, mchc)))), sqrt(log(log(add(sqrt(eos_pct), div(mcv, mchc)))))), div(add(mul(mul(neg(wbc), mul(mono_pct, baso_pct)), mul(mono_pct, mul(mono_pct, baso_pct))), plt), neg(0.519))), sqrt(rbc))), sqrt(rbc)), log(add(sub(plt, -0.612), hgb)))), sqrt(sqrt(sqrt(eos_pct)))), plt), sqrt(log(log(add(sqrt(eos_pct), div(mcv, mchc)))))), div(add(mul(mul(mul(neg(wbc), mul(mono_pct, baso_pct)), mul(mono_pct, baso_pct)), div(mcv, mchc)), plt), neg(0.519))), neg(0.519)), log(add(sub(plt, -0.612), hgb))), sub(plt, -0.612))",0.0244,0.5994,9,0.0141,0.0103,1,21,True,0.03483,0.021346,-0.007009,0.076669,True,0.0157,none,0
2026-05-26 02:00:03,lup,,small,"div(sqrt(add(add(sqrt(sub(sub(wbc, hgb), sub(plt, neut_pct))), log(neg(mul(wbc, mcv)))), sub(plt, neut_pct))), sub(sub(sub(wbc, hgb), sub(plt, neut_pct)), sub(plt, mono_pct)))",0.0143,0.5622,6,0.0071,0.0072,0,5,True,0.012134,0.009511,-0.006508,0.030776,False,,none,0
2026-05-26 02:00:03,lup,,medium,"add(mul(neg(mchc), sub(hgb, mchc)), add(add(mul(neg(neg(mul(add(mul(neg(mchc), mul(mono_pct, baso_pct)), add(add(sub(lym_pct, baso_pct), neg(div(neg(plt), sub(hgb, eos_pct)))), mul(mono_pct, baso_pct))), mul(neg(plt), div(neg(mcv), neg(mul(mono_pct, baso_pct))))))), mul(mono_pct, baso_pct)), add(add(neut_pct, plt), neg(mchc))), neg(div(neg(plt), sub(hgb, eos_pct)))))",0.0083,0.6429,9,0.0114,-0.0031,0,10,False,0.017761,0.018989,-0.019457,0.054978,True,0.0044,none,0
2026-05-26 02:00:03,lup,,large,"neg(neg(mul(neg(div(sqrt(mul(log(div(neg(plt), wbc)), div(neg(plt), wbc))), sub(hgb, eos_pct))), mul(neg(plt), mul(log(div(mul(log(div(mono_pct, mcv)), neg(div(neg(neg(plt)), neg(sub(-0.812, wbc))))), mcv)), div(neg(plt), wbc))))))",0.0098,0.5616,6,0.0071,0.0027,0,20,False,0.016649,0.018956,-0.020505,0.053803,False,,none,0
2026-05-26 02:27:25,t2d,,small,"mul(log(add(lym_pct, -0.247)), mul(log(mono_pct), mul(div(div(neut_pct, mono_pct), mono_pct), plt)))",0.1492,0.6188,4,0.149,0.0002,1,6,False,0.149415,0.007118,0.135463,0.163366,False,,none,0
2026-05-26 02:27:25,t2d,,medium,"div(div(add(mono_pct, mcv), add(neut_pct, lym_pct)), mchc)",0.1585,0.6218,5,0.1491,0.0094,4,14,True,0.155862,0.008675,0.13886,0.172864,False,,none,0
2026-05-26 02:27:25,t2d,,large,"sub(sqrt(add(mch, add(add(add(add(add(rbc, add(eos_pct, add(neut_pct, lym_pct))), rbc), mono_pct), mono_pct), add(div(add(mch, add(add(add(add(add(add(add(add(add(neut_pct, lym_pct), neg(mul(add(add(add(add(add(add(add(add(add(eos_pct, add(add(add(add(add(add(add(add(add(neut_pct, lym_pct), mono_pct), mono_pct), mono_pct), mono_pct), lym_pct), mono_pct), mono_pct), mono_pct)), mono_pct), mono_pct), mono_pct), mono_pct), mono_pct), mono_pct), mono_pct), mono_pct), baso_pct))), add(div(lym_pct, wbc), mono_pct)), mono_pct), log(rbc)), add(div(lym_pct, wbc), mono_pct)), mono_pct), log(rbc)), add(div(lym_pct, add(log(rbc), mul(wbc, baso_pct))), mono_pct))), add(add(log(hgb), mul(wbc, baso_pct)), mono_pct)), mono_pct)))), add(add(eos_pct, add(neut_pct, lym_pct)), mono_pct))",0.2297,0.7065,9,0.1548,0.0749,91,99,True,0.242596,0.008995,0.224966,0.260225,True,0.2276,none,0
